ticker,sector,industry,employees,description
IIIN,Industrials,Metal Fabrication,,"Insteel Industries, Inc., together with its subsidiaries, manufactures and markets steel wire reinforcing products for concrete construction applications. The company offers prestressed concrete strand (PC strand) and welded wire reinforcement (WWR) products. Its PC strand is a seven-wire strand that is used to impart compression forces into precast concrete elements and structures providing reinforcement for bridges, parking decks, buildings, and other concrete structures. The company's WWR engineered reinforcing product is used in nonresidential and residential construction. It produces a range of WWR products, such as engineered structural mesh, an engineered made-to-order product that is used as the primary reinforcement for concrete elements or structures serving as a reinforcing solution for hot-rolled rebar; concrete pipe reinforcement, an engineered made-to-order product, which is used as the primary reinforcement in concrete pipe, box culverts, and precast manholes for drainage and sewage systems, water treatment facilities, and other related applications; and standard welded wire reinforcement, a secondary reinforcing product for crack control applications in residential and light nonresidential construction, including driveways, sidewalks, and various slab-on-grade applications. The company sells its products through sales representatives to the manufacturers of concrete products, rebar fabricators, distributors, and contractors primarily in the United States, Canada, Mexico, and Central and South America. Insteel Industries, Inc. was founded in 1953 and is headquartered in Mount Airy, North Carolina."
OILY,Energy,Oil & Gas E&P,,"Sino American Oil Company, a development stage company, engages in the exploration, development, and production of oil and gas. The company was formerly known as Raphael Industries Ltd. and changed its name to Sino American Oil Company in November 2010. Sino American Oil Company was incorporated in 2005 and is headquartered in Cheyenne, Wyoming."
CVGI,Consumer Cyclical,Auto Parts,"7,300","Commercial Vehicle Group, Inc., together with its subsidiaries, designs, manufactures, produces, and sells components and assemblies in North America, Europe, and the Asia-Pacific regions. It operates in four segments: Vehicle Solutions, Warehouse Automation, Electrical Systems, and Aftermarket & Accessories. The company offers electrical wire harness assemblies that function as current carrying devices in providing electrical interconnections for gauges, lights, control functions, power circuits, powertrain and transmission sensors, emissions systems, and other electronic applications on commercial and other vehicles; and panel assemblies. It also offers electro-mechanical assemblies, such as box builds, complex automated and robotic assemblies, and large multi-cabinet control cabinets with power distribution and cabling; vinyl or cloth-covered appliqués, armrests, map pocket compartments, and sound-reducing insulations; instrument panels; and plastics decorating and finishing products. In addition, it provides cab structures; design products, including armrests, grab handles, storage systems, floor coverings, floor mats, sleeper bunks, headliners, wall panels, and privacy curtains; and mirrors, wipers, and controls used in commercial, military and specialty recreational vehicles. Further, it offers seats and seating systems, such as mechanical and air suspension, static and military seats, and bus, as well as seats for medium-and heavy-duty trucks (MD/HD trucks); office seating products; and seats, parts, and components for the aftermarket. The company supplies its products and systems for the commercial vehicle market comprising the MD/HD truck market; and MD/HD truck, bus, construction, mining, agricultural, military, industrial, municipal, off-road recreational, and specialty vehicle markets. Commercial Vehicle Group, Inc. was incorporated in 2000 and is headquartered in New Albany, Ohio."
PSN,Industrials,Specialty Industrial Machinery,"15,500","Parsons Corporation provides integrated solutions and services in the defense, intelligence, and critical infrastructure markets in North America, the Middle East, and internationally. It operates through two segments, Federal Solutions and Critical Infrastructure. The company offers cyber security and intelligence services, as well as offensive and defensive cybersecurity platforms, tools, and operations to the U.S. Department of Defense and the United States intelligence community; space and geospatial solutions, such as geospatial intelligence, threat analytics, space situational awareness, small satellite launch and integration, satellite ground systems, fight dynamics, and command, and control solutions to the National Geospatial-Intelligence Agency, National Reconnaissance Office, and multiple units within the U.S. Department of Defense. It also provides missile defense and C5ISR solutions, such as integrated air and missile defense, data fusion and analytics, platform system integration, directed energy, joint all-domain operations, and command and control systems to Defense Intelligence Agency and the U.S. Department of Defense; technology services for energy production systems, aviation, healthcare and bio-surveillance systems, and environmental systems and associated infrastructure, as well as nuclear waste processing and treatment, weapons of mass destruction elimination, program and project management, infectious disease control analytics, and data protection solutions. In addition, the company offers intelligent transportation system management, aviation, rail and transit systems, smart cities software, and critical infrastructure cyber protection to the transportation authorities, rail, and transit entities; engineering services for infrastructure; and program management, and environmental solutions to private-sector industrial clients and public utilities. Parsons Corporation was founded in 1944 and is headquartered in Centreville, Virginia."
SRLP,Energy,Oil & Gas Refining & Marketing,757,"As of May 28, 2021,  operates as a subsidiary of Hartree Partners, LP. As of May 28, 2021, Sprague Resources LP operates as a subsidiary of Hartree Partners, LP."
JWN,Consumer Cyclical,Department Stores,"72,000","Nordstrom, Inc., a fashion retailer, provides apparels, shoes, beauty, accessories, and home goods for women, men, young adults, and children. It offers a range of brand name and private label merchandise through various channels, such as Nordstrom branded stores and online at Nordstrom.com; TrunkClub.com; Nordstrom.ca; Nordstrom stores; Nordstrom Rack stores; Nordstrom Locals; Nordstromrack.com and HauteLook; clearance stores under the Last Chance name; Trunk Club clubhouses; and Jeffrey boutiques. As of December 31, 2021, the company operated 94 Nordstrom stores and 240 Nordstrom Rack stores in the United States; 2 clearance stores; and 7 Nordstrom Local service hubs, as well as 6 Nordstrom stores and 7 Nordstrom Rack stores in Canada. Nordstrom, Inc. was founded in 1901 and is headquartered in Seattle, Washington."
VIVE,Healthcare,Medical Devices,47,"Viveve Medical, Inc., together with its subsidiaries, designs, develops, manufactures, and markets medical devices for the non-invasive treatment of vaginal introital laxity, sexual function, vaginal rejuvenation, and stress urinary incontinence. The company offers Viveve System comprises of the radiofrequency generator, reusable handpiece, and treatment tip, as well as cryogen canister and other consumable components. It markets its products through sales employees and distributors in the United States, Canada, the Asia Pacific, Europe, the Middle East, Latin America, and internationally. Viveve Medical, Inc. was founded in 2005 and is headquartered in Englewood, Colorado."
RGS,Consumer Cyclical,Personal Services,630,"Regis Corporation owns, operates, and franchises hairstyling and hair care salons in the United States, Canada, Puerto Rico, and the United Kingdom. The company operates in two segments, Franchise Salons and Company-Owned Salons. Its salons provide haircutting and styling, including shampooing and conditioning; hair coloring; and other services, as well as sells various hair care and other beauty products. The company also offers mobile applications; and operates accredited cosmetology schools. Regis Corporation operates its salons primarily under the SmartStyle, Supercuts, Cost Cutters, Roosters, First Choice Haircutters, and Magicuts concepts names. As of June 30, 2022, the company operated 5,576 salons, such as 5,395 franchised salons, 105 company-owned salons, and 76 non-controlling ownership salons. Regis Corporation was founded in 1922 and is headquartered in Minneapolis, Minnesota."
BRKL,Financial Services,Banks—Regional,786,"Brookline Bancorp, Inc. operates as a bank holding company for the Brookline Bank that provide commercial, business, and retail banking services to corporate, municipal, and retail customers in the United States. Its deposit products include demand checking, NOW, money market, and savings accounts. The company's loan portfolio primarily comprises first mortgage loans secured by commercial, multi-family, and residential real estate properties; loans to business entities comprising commercial lines of credit; loans to condominium associations; loans and leases used to finance equipment for small businesses; financing for construction and development projects; and home equity and other consumer loans. It also provides term loans, letters of credit, foreign exchange, cash management, investment advisory, and online and mobile banking services, as well as invests in debt and equity securities. As of December 31, 2021, the company operated 50 full-service banking offices in greater Boston, Massachusetts, and greater Providence, Rhode Island. Brookline Bancorp, Inc. was founded in 1871 and is headquartered in Boston, Massachusetts."
WNDW,Utilities,Utilities—Renewable,7,"SolarWindow Technologies, Inc. engages in developing electricity-generating coatings for use in building window and glass applications. The company's LiquidElectricity coatings generate electricity by harvesting light energy from natural sun, artificial light, and low, shaded, or reflected light conditions. It applies ultra-thin layers of LiquidElectricity coatings to rigid glass, as well as flexible glass and plastic surfaces where they transform otherwise ordinary surfaces into organic photovoltaic devices. Its potential applications of LiquidElectricity coatings span various industries, including architectural, automotive, agrivoltaic, aerospace, commercial transportation, and marine. The company's LiquidElectricity coatings and SolarWindow products are under development with support from commercial contract firms and at the U.S. Department of Energy's National Renewable Energy Laboratory, through cooperative research and development agreements. The company was founded in 1998 and is based in Scottsdale, Arizona."
TWOH,Technology,Software—Application,,"Two Hands Corporation, through its subsidiary, Two Hands Canada Corporation, operates in the grocery market. It operates a gocart.city, an online delivery marketplace that allows consumers to shop groceries online; and Grocery Originals, a brick-and-mortar grocery store located in Mississauga Ontario. The company is also involved in the wholesale food distribution business. Its products include produce, meats, pantry items, bakery and pastry goods, gluten-free goods, and organic items. The company was formerly known as Innovative Product Opportunities, Inc. and changed its name to Two Hands Corporation in September 2016. Two Hands Corporation was incorporated in 2009 and is headquartered in Mississauga, Canada."
ACHC,Healthcare,Medical Care Facilities,"22,500","Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. The company offers behavioral healthcare services to its patients in various settings, including inpatient psychiatric hospitals, specialty treatment facilities, residential treatment centers, and outpatient clinics. As of March 31, 2022, it operated a network of 238 behavioral healthcare facilities with approximately 10,600 beds. The company was founded in 2005 and is headquartered in Franklin, Tennessee."
UPDC,Consumer Defensive,Packaged Foods,3,"UPD Holding Corp. does not have significant operations. Previously, the company was operated in the food and beverage industry in the United States. It intends to acquire assets and businesses in the rehabilitation services industry. The company was founded in 2013 and is based in Reno, Nevada."
KAYS,Healthcare,Drug Manufacturers—Specialty & Generic,4,"Kaya Holdings, Inc., a vertically integrated legal marijuana enterprise, produces, distributes, and/or sells a range of cannabis products in the United States. The company offers flower, oils, vape cartridges and cannabis infused confections, baked goods, and beverages. It also operates two retail outlets under the Kaya Shack brand name, as well as offers strain specific cannabis cigarettes under the Kaya Buddies name, and strains of cannabis under the Kaya Farms name. The company also provides standing display cases with cannabis intended glassware under the Really Happy Glass brand; and t-shirt designs under the Kaya Gear brand name. The company was formerly known as Alternative Fuels America, Inc. and changed its name to Kaya Holdings, Inc. in April 2015. Kaya Holdings, Inc. was incorporated in 1993 and is headquartered in Fort Lauderdale, Florida."
ASPN,Industrials,Building Products & Equipment,418,"Aspen Aerogels, Inc. designs, develops, manufactures, and sells aerogel insulation products primarily for use in the energy infrastructure and building materials markets in the United States, Asia, Canada, Europe, and Latin America. The company offers PyroThin thermal barriers for use in lithium-ion batteries in electric vehicles and energy storage industries; Pyrogel XTE that reduces the risk of corrosion under insulation in energy infrastructure operating systems; Pyrogel HPS for applications within the power generation market; Pyrogel XTF to provide protection against fire; Cryogel Z for sub-ambient and cryogenic applications in the energy infrastructure market; and Spaceloft Subsea for use in pipe-in-pipe applications in offshore oil production. It also offers Spaceloft Grey and Spaceloft A2 for use in the building materials market; and Cryogel X201, which is used in designing cold systems, such as refrigerated appliances, cold storage equipment, and aerospace systems. The company was founded in 2001 and is headquartered in Northborough, Massachusetts."
AXP,Financial Services,Credit Services,"64,000","American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide. The company operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services. Its products and services include payment and financing products; network services; accounts payable expense management products and services; and travel and lifestyle services. The company's products and services also comprise merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. It sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, third-party vendors and business partners, direct mail, telephone, in-house sales teams, and direct response advertising. American Express Company was founded in 1850 and is headquartered in New York, New York."
SCIA,Technology,Semiconductor Equipment & Materials,21,"SCI Engineered Materials, Inc. manufactures and supplies materials for physical vapor deposition thin film applications. The company offers ceramic targets, metal sputtering targets, and backing plates for use in semiconductors, solar, flat panel displays, defense, aerospace, and photonics. Its materials are used to produce nano layers of metals and oxides for advanced material systems; and in applying decorative coatings for end uses, such as sink faucets to produce various electronic, photonic, and semiconductor products. The company serves domestic and multi-national corporations, universities, and research institutions. SCI Engineered Materials, Inc. distributes its products directly, as well as through independent distributors and manufacturers' representatives internationally. The company was formerly known as Superconductive Components, Inc. and changed its name to SCI Engineered Materials, Inc. in 2007. The company was incorporated in 1987 and is headquartered in Columbus, Ohio."
PALT,Technology,Software—Application,21,"Paltalk, Inc., together with its subsidiaries, develops communications software and multimedia social applications worldwide. The company offers consumer applications, which include Paltalk, Camfrog, and Tinychat for live video chat; and Vumber, a telecommunications application that enables users to have multiple phone numbers in any area code through which calls can be forwarded to a user's existing cell phone or landline telephone number. In addition, the company provides product payment options, where users can pay by credit card, PayPal, western union, check, local e-wallet providers, or complete an in-app purchase through the Apple App Store or Google Play Store for Android users. It also provides technology services and professional services, such as development, integration, engineering, licensing, other services. The company was formerly known as PeerStream, Inc. and changed its name to Paltalk, Inc. in May 2020. Paltalk, Inc. is based in Jericho, New York."
MARK,Technology,Software—Infrastructure,74,"Remark Holdings, Inc. primarily focuses on the development and deployment of artificial intelligence-based solutions for businesses and software developers. It operates a data and AI software platform under the Remark AI name in the United States and the KanKan AI name in the Asia Pacific region that offers AI-based computer vision products, computing devices, and software-as-a-service solutions for the retail, urban life cycle, workplace and food safety, railway safety, and biosafety industries. The company also provides Thermal kits, which includes a thermal imaging camera, calibrating device, computer to monitor the video feed, supporting equipment, and AI software to scan crowds and areas of high foot traffic for indications that certain persons with elevated temperatures may require secondary screening; and rPad thermal imaging devices, a single-post stand to scan individuals on a one-by-one basis for authorized entry. In addition, it owns and operates Sharecare, a web-based platform that facilitates search for health and wellness information; and Bikini.com, an e-commerce website that sells swimwear and accessories in the latest styles, as well as offers advertising services. The company was formerly known as Remark Media, Inc. and changed its name to Remark Holdings, Inc. in April 2017. Remark Holdings, Inc. was incorporated in 2006 and is headquartered in Las Vegas, Nevada."
RMBI,Financial Services,Banks—Regional,184,"Richmond Mutual Bancorporation, Inc. operates as a holding company for First Bank Richmond that provides various banking services. The company accepts various deposits, including savings deposit accounts, money market accounts NOW and demand accounts, and certificates of deposit. It also offers a range of lending products, such as multi-family and commercial real estate loans, commercial and industrial loans, construction and development loans, residential real estate loans, and consumer loans. In addition, the company engages in the lease financing business; and provision of fee-based financial services comprising trust and estate administration, investment management, retirement plan administration, and private banking services. It operates through 12 full service and one limited-service banking offices with seven full-service and one limited-service offices located in Indiana; five offices situated in Ohio; one full-service banking office and four other branch offices are located in Richmond, Indiana; two other offices in Cambridge City, Centerville, Richmond, and Shelbyville, Indiana; two offices in Sidney and Ohio; two offices in Piqua and one office in Troy, Ohio; and a loan production office in Columbus, Ohio. Richmond Mutual Bancorporation, Inc. was founded in 1887 and is headquartered in Richmond, Indiana."
W,Consumer Cyclical,Internet Retail,"18,000","Wayfair Inc. engages in the e-commerce business in the United States and internationally. The company provides approximately thirty-three million products for the home sector under various brands. It offers online selections of furniture, décor, housewares, and home improvement products through its sites, including Wayfair, Joss & Main, AllModern, Birch Lane, and Perigold brands. The company was founded in 2002 and is headquartered in Boston, Massachusetts."
ANAV,Consumer Cyclical,Internet Retail,7,"Alpha Network Alliance Ventures Inc., a development stage company, focuses on the marketing and sale of food supplements and vitamins under the WellnessPro brand name. The company sells its products through anavexchange.com, an online marketplace. Alpha Network Alliance Ventures Inc. was founded in 2011 and is headquartered in Riverside, California."
EHTH,Financial Services,Insurance Brokers,"2,379","eHealth, Inc. operates a health insurance marketplace that provides consumer engagement, education, and health insurance enrollment solutions in the United States. The company operates in two segments, Medicare; and Individual, Family and Small Business. Its ecommerce platforms organize and present health insurance information in various formats that enable individuals, families, and small businesses to research, analyze, compare, and purchase a range of health insurance plans. The company operates a marketplace that offers consumers a choice of insurance products, such as Medicare Advantage, Medicare Supplement, Medicare Part D prescription drug, individual and family, small business, and other ancillary health insurance products from health insurance carriers. It markets health insurance plans through its websites, including eHealth.com, eHealthInsurance.com, eHealthMedicare.com, Medicare.com, PlanPrescriber.com, and GoMedigap.com, as well as through a network of marketing partners. The company also licenses its health insurance ecommerce technology that enables health insurance carriers to market and distribute health insurance plans online; and provides online sponsorship and advertising, and lead referral services. eHealth, Inc. was incorporated in 1997 and is headquartered in Santa Clara, California."
NEX,Energy,Oil & Gas Equipment & Services,"3,340","NexTier Oilfield Solutions Inc., through its subsidiaries, provides well completion and production services in various active and demanding basins. The company operates through two segments, Completion Services, and Well Construction and Intervention Services. The Completion Services segment offers hydraulic fracturing services to enhance production of oil and natural gas from formations with low permeability and restricted flow of hydrocarbons; wireline services; and perforating, pumpdown, pipe recovery, pressure pumping, and wellsite make-up and pressure testing services. As of December 31, 2021, it had approximately 2.1 million of fracturing hydraulic horsepower, 101 wireline trucks, and 76 pumpdown units. The Well Construction and Intervention Services segment provides cementing services that incorporate custom engineered mixing and blending equipment to ensure precision and accuracy in providing annulus isolation and hydraulic seal, while protecting fresh water zones from its customers' zone of interest; and engineering software and technical guidance for remedial cementing applications, and acidizing to optimize the performance of its customers' wells. This segment also offers coiled tubing services to help customers in accomplishing various goals in their horizontal completion, workover, and well maintenance projects. As of December 31, 2021, it had approximately 17 coiled tubing units and 74 cementing units. The company serves integrated and large independent oil and natural gas exploration and production companies in the United States and internationally. NexTier Oilfield Solutions Inc. was founded in 1973 and is headquartered in Houston, Texas."
SMPL,Consumer Defensive,Packaged Foods,260,"The Simply Good Foods Company operates as a consumer-packaged food and beverage company in North America and internationally. The company develops, markets, and sells snacks and meal replacements. It offers protein bars, ready-to-drink shakes, sweet and salty snacks, cookies, pizzas, protein chips, and recipes, as well as licensed frozen meals under the Atkins, Atkins Endulge, and Quest brand names. The company also provides confectionery products, such as full-size and mini peanut butter cups, and fudgey brownie and gooey caramel candy bites. It distributes its products to various retail channels, such as mass merchandise, grocery and drug channels, club stores, convenience stores, gas stations, and other channels. The company also sells its products through e-commerce channels, including atkins.com, questnutrition.com, and amazon.com. The Simply Good Foods Company was incorporated in 2017 and is headquartered in Denver, Colorado."
FMHS,Communication Services,Internet Content & Information,,"Farmhouse, Inc. operates a platform for regulated cannabis industry. The company provides The WeedClub, a social networking platform that enables cannabis and hemp professionals to connect, discover products and services, and scale their businesses. Its platform serves cannabis producers, retailers, consultants, and supply chain professionals. Farmhouse, Inc. was incorporated in 2013 and is based in San Francisco, California."
GLRE,Financial Services,Insurance—Reinsurance,44,"Greenlight Capital Re, Ltd., through its subsidiaries, operates as a property and casualty reinsurance company worldwide. The company offers various property reinsurance products and services, including automobile physical damage, personal lines, and commercial lines. It also provides casualty reinsurance products and services comprising general liability, motor liability, professional liability, and worker's compensation; and accident and health, transactional liability, mortgage insurance, surety, trade credit, marine, energy, aviation, crop, cyber, political, and terrorism products. The company markets its products through reinsurance brokers. Greenlight Capital Re, Ltd. was incorporated in 2004 and is headquartered in Grand Cayman, the Cayman Islands."
BGLC,Healthcare,Diagnostics & Research,27,"BioNexus Gene Lab Corporation, a molecular diagnostics company, focuses on developing and commercializing molecular diagnostic tests for the early detection of diseases and personalized health management primarily in Malaysia. Its non-invasive blood tests are used to analyze changes in ribonucleic acid for the detection of Covid-19, Dengue, human immunodeficiency virus, human papillomavirus, and the risk potentiality of cancers diseases. BioNexus Gene Lab Corporation was incorporated in 2017 and is based in Kuala Lumpur, Malaysia with an additional office in Sheridan, Wyoming."
DCLT,Technology,Software—Infrastructure,3,"Data Call Technologies, Inc. provides real-time information/content through digital signage and kiosk networks in the United States. The company's software and services enable clients to have control of real-time advertising, news, and other content, including emergency alerts. Its data and information types comprise world and national news headlines, business and entertainment headlines, world-based financial indicators, science/health news, latest off-beat news headlines, sports headlines, sports odds for NFL, NBA, NHL, NCAA football and basketball, various game schedules and in-game updates, professional golf association, NASCAR top 10 race positions, traffic mapping, animated Doppler radar and forecast maps, listings of the day's horoscopes and birthdays, health and wellness, listings of historical events that occurred on each day in history, and localized traffic and weather forecasts. It offers its products and services through the Internet. The company was formerly known as Data Call Wireless, Inc. and changed its name to Data Call Technologies, Inc. in March 2006. Data Call Technologies, Inc. was incorporated in 2002 and is based in Friendswood, Texas."
TLSS,Industrials,Trucking,40,"Transportation and Logistics Systems, Inc., through its subsidiaries, operates as a logistics and transportation company the United States. It offers ecommerce fulfillment, last mile delivery, two-person home delivery, mid-mile, and long-haul services, as well as pickup and warehousing services. As of December 31, 2021, the company owned approximately 17 vehicles, including box trucks and vans. Transportation and Logistics Systems, Inc. is based in Jupiter, Florida."
LOB,Financial Services,Banks—Regional,891,"Live Oak Bancshares, Inc. operates as the bank holding company for Live Oak Banking Company that provides various commercial banking products and services to individuals, small businesses, and professionals in North Carolina, the United States. The company accepts various deposit products, including noninterest-bearing demand, as well as interest-bearing checking, money market, savings, and time deposits. It also offers commercial and industrial loans; construction and development loans; owner occupied and non-owner occupied collateral commercial real estate loans; and commercial land loans. In addition, the company provides settlement, accounting, and securitization services for government guaranteed loans; wealth and investment management services to high-net-worth individuals and families; investment advisory services to a series of funds focused on providing venture capital to new and emerging financial technology companies; and an on-site restaurant location to company employees and business visitors. Live Oak Bancshares, Inc. was incorporated in 2008 and is headquartered in Wilmington, North Carolina."
SMLR,Healthcare,Medical Devices,124,"Semler Scientific, Inc. provides technology solutions to improve the clinical effectiveness and efficiency of healthcare providers in the United States. The company's products include QuantaFlo, a four-minute in-office blood flow test that enables healthcare providers to use blood flow measurements as part of their examinations of a patient's vascular condition. Its products serve cardiologists, internists, nephrologists, endocrinologists, podiatrists, and family practitioners, as well as healthcare insurance plans, integrated delivery networks, independent physician groups, and companies contracting with the healthcare industry, such as risk assessment groups. The company offers its products through salespersons and distributors. Semler Scientific, Inc. was incorporated in 2007 and is headquartered in Santa Clara, California."
FNHC,Financial Services,Insurance—Property & Casualty,341,"FedNat Holding Company, together with its subsidiaries, engages in the insurance underwriting, distribution, and claims processing business in Florida, Louisiana, Texas, Georgia, South Carolina, Alabama, and Mississippi. The company is involved in the homeowners and casualty insurance; and personal automobile insurance businesses, as well as commercial general liability and federal flood businesses. It markets and distributes its own and third-party insurers' products, and other services through a network of independent and general agents. The company was formerly known as Federated National Holding Company and changed its name to FedNat Holding Company in May 2018. FedNat Holding Company was founded in 1991 and is based in Sunrise, Florida."
GAIA,Communication Services,Entertainment,150,"Gaia, Inc. operates a digital video subscription service and on-line community for underserved member base in the United States, Canada, Australia, and internationally. It has a digital content library of approximately 10,000 titles in Spanish, German, and French languages available to its subscribers on internet-connected devices. The company's network includes Yoga channel, which provides access to yoga, eastern arts, and other movement based classes; Transformation channel that offers spiritual growth, personal development, and consciousness content; Alternative Healing channel, which features content focused on food and nutrition, holistic healing, alternative and integrative medicines, and longevity; and Seeking Truth channel that offers category-leading talent that enables to draw speakers, authors, and experts in the alternative media world. It also operates gaia.com and gaiamtv.com websites. Gaia, Inc. complements its produced and owned content through long term licensing agreements. The company was formerly known as Gaiam, Inc. and changed its name to Gaia, Inc. in July 2016. Gaia, Inc. was incorporated in 1988 and is headquartered in Louisville, Colorado."
UUU,Industrials,Security & Protection Services,12,"Universal Security Instruments, Inc., together with its subsidiary, designs, markets, and distributes safety and security products for use in homes and businesses in the United States and internationally. It offers a line of safety alarms, including units powered by replaceable batteries, sealed batteries, and battery backup alarms; and smoke alarms, which include hearing impaired and heat alarms, as well as carbon monoxide alarms, door chimes, ventilation products, ground fault circuit interrupters, and other electrical devices under the UNIVERSAL and USI Electric trade names. The company provides its products to wholesale distributors; chain, discount, and television retailers; home center stores; catalog and mail order companies; electrical and lighting distributors, and manufactured housing companies; and other distributors. It also sells its products through independent sales organizations and sales representatives, as well as through its own sales catalogs and brochures, and website. The company was incorporated in 1969 and is headquartered in Owings Mills, Maryland."
HSTC,Healthcare,Biotechnology,,"HST Global, Inc., an integrated health and wellness biotechnology company, develops and/or acquires a network of wellness centers for the homeopathic and alternative treatment of late stage cancer worldwide. It also focuses on the homeopathic and alternative product candidates that are undergoing or have already completed clinical testing for the treatment of late stage cancers and other life-threatening diseases. HST Global, Inc. is headquartered in Hampton, Virginia."
VONI,Consumer Defensive,Food Distribution,4,"Veroni Brands Corp. imports, distributes, and sells chocolate and snack products to retailers in the United States. The company's products portfolio comprises chocolates, including bars, bites, truffles, sticks, candies, cups, and gummies; and healthy snacks items. It offers chocolate products under the Sweet Desire and Baron Chocolatier brands, as well as under the private labels. The company was formerly known as European CPG Acquisition Corporation and changed its name to Veroni Brands Corp. in November 2017. Veroni Brands Corp. was incorporated in 2016 and is based in Bannockburn, Illinois."
VSYM,Industrials,Security & Protection Services,2,"View Systems, Inc. develops, produces, and markets computer software and hardware systems for security and surveillance applications in the United States. It offers ViewScan and Secure Scan concealed weapons detection systems, which uses data sensing technology to pinpoint the location, size, and number of concealed weapons under the and names; visual first responder system; and Viewmaxx digital video systems. The company serves federal and state government courthouses, county and municipal buildings, and correctional facilities. View Systems, Inc. was formerly known as Beneficial Investment Group, Inc. and changed its name to View Systems, Inc. in September 1998. The company was incorporated in 1989 and is based in Greenbelt, Maryland."
REVG,Industrials,Farm & Heavy Construction Machinery,"6,800","REV Group, Inc. designs, manufactures, and distributes specialty vehicles, and related aftermarket parts and services in the United States, Canada, Europe, Africa, and internationally. It operates through three segments: Fire & Emergency, Commercial, and Recreation. The Fire & Emergency segment provides fire apparatus equipment under the Emergency One, Kovatch Mobile Equipment, Ferrara, Spartan Emergency Response, Smeal, and Ladder Tower brands; and ambulances under the American Emergency Vehicles, Horton Emergency Vehicles, Leader Emergency Vehicles, Road Rescue, and Wheeled Coach brands. The Commercial segment offers transit buses, type A school buses, sweepers, and terminal trucks under the Collins Bus, Capacity, ENC, and Lay-Mor brands. The Recreation segment offers motorized and towable RV models under the American Coach, Fleetwood RV, Holiday Rambler, Renegade, Midwest, and Lance brands; and produces a range of custom molded fiberglass products for the heavy-duty truck, RV, and broader industrial markets. The company sells its products to municipalities, government agencies, private contractors, consumers, and industrial and commercial end users through its direct sales force or dealer network. The company was formerly known as Allied Specialty Vehicles, Inc. and changed its name to REV Group, Inc. in November 2015. REV Group, Inc. is based in Brookfield, Wisconsin."
SSOK,Consumer Cyclical,Luxury Goods,3,"Sunstock, Inc. engages in the buying, selling, and distributing gold and precious metals. The company secures and/or acquires mining assets, as well as rights to purchase mining production and sells these metals primarily through retail channels, including branded coins. It owns and operates retail store under the Mom's Silver Shop located in Sacramento, California. The company was formerly known as Sandgate Acquisition Corporation and changed its name to Sunstock, Inc. in July 2013. Sunstock, Inc. was incorporated in 2012 and is based in Sacramento, California."
WDDD,Technology,Software—Application,1,"Worlds Inc. designs and develops software, content, and related technology for the creation of interactive three-dimensional (3D) Internet Websites. Its 3D Internet sites are designed to promote visitation by users by providing them with online communities featuring dynamic graphics, information content, and interactive capabilities. The company's technology includes WorldsShaper, a compositing 3D building tool that integrates pre-existing or custom content; WorldsServer, a scalable software to control and operate online virtual communities; WorldsBrowser to access the 3D environments; WorldsPlayer to view and experience multi-user, interactive technology; and Worlds Gamma Libraries to compose sample worlds, textures, models, avatars, actions, sensors, sounds, motion sequences, and other behaviors. Its technology is used in various applications, including virtual meeting places, 3D e-commerce stores, and virtual classrooms. The company was formerly known as Worlds.com Inc. and changed its name to Worlds Inc. in February 2011. Worlds Inc. is based in Brookline, Massachusetts."
QMCI,Financial Services,Financial Data & Stock Exchanges,94,"Quotemedia, Inc. provides financial data, market research information, analytics, news feeds, and financial software solutions to online brokerages, banks, clearing firms, financial service companies, media portals, and public corporations worldwide. It collects, aggregates, and delivers delayed and real-time financial data content through the Internet. The company also offers market information and services, including streaming stock market data feeds, research and analysis information, content applications, portfolio management systems, software products, corporate investor relations provisioning, news services, mobile apps, and custom development. In addition, its data feed coverage includes equities, options, futures, commodities, currencies, mutual funds, ETFs, and indices. Further, the company provides financial data delivery application products and components comprising quote modules, charts, market movers, news, watch lists, tickers, market summaries, option chains, filings, investor relations solutions, fundamentals, screeners, and others. Additionally, it offers portfolio managements systems, including Quotestream Desktop and Mobile, and Quotestream Professional, as well as a web portfolio management product; and Quotestream Connect, which delivers real time data feeds to individual users to power third party applications. The company was incorporated in 1999 and is headquartered in Fountain Hills, Arizona."
